# Input: C:/Users/Yanyan/Documents/Visual Studio 2013/Projects/StressTransGraphVis/data/bcspwr10/bcspwr10.txt
# Nodes: 5300    Edges: 8271
# Algoritm: Clauset-Newman-Moore
# Modularity: 0.921425
# Communities: 33
# NId	CommunityId
1244	0
0	0
2318	0
2093	0
35	0
2526	0
174	0
392	0
383	0
3168	0
2753	0
3826	0
393	0
4763	0
3086	0
472	0
3948	0
4457	0
550	0
4519	0
4515	0
551	0
5236	0
1756	0
571	0
1757	0
828	0
592	0
3500	0
3475	0
601	0
5037	0
665	0
614	0
2598	0
615	0
3520	0
2379	0
616	0
3883	0
644	0
617	0
806	0
631	0
2684	0
2610	0
636	0
725	0
642	0
2414	0
3821	0
643	0
4885	0
650	0
2766	0
647	0
4760	0
2816	0
649	0
3263	0
3705	0
4572	0
669	0
4886	0
3671	0
700	0
5238	0
3719	0
718	0
4545	0
2404	0
720	0
4669	0
733	0
2179	0
746	0
2303	0
3887	0
754	0
4902	0
784	0
775	0
1039	0
2314	0
782	0
2799	0
790	0
786	0
4389	0
4749	0
795	0
5134	0
797	0
798	0
4544	0
826	0
4997	0
4551	0
4604	0
891	0
916	0
910	0
943	0
914	0
958	0
918	0
915	0
4458	0
2508	0
926	0
4227	0
4263	0
937	0
4670	0
3978	0
945	0
4482	0
946	0
965	0
4339	0
3444	0
966	0
969	0
971	0
4543	0
2223	0
983	0
986	0
996	0
5267	0
4185	0
998	0
1007	0
1032	0
3668	0
3091	0
1033	0
1062	0
4981	0
3029	0
1088	0
1127	0
5137	0
2581	0
1140	0
4679	0
2626	0
1147	0
4011	0
4137	0
1169	0
1192	0
4678	0
4713	0
1193	0
2884	0
1201	0
2624	0
1222	0
4180	0
4723	0
2887	0
1368	0
5036	0
1458	0
1456	0
3493	0
1478	0
1522	0
1582	0
5035	0
2957	0
1585	0
5265	0
1677	0
1746	0
1711	0
1802	0
2298	0
4072	0
2356	0
4887	0
5135	0
3522	0
3931	0
5132	0
2734	0
4165	0
5136	0
2749	0
3661	0
4883	0
2797	0
3609	0
2907	0
3842	0
2908	0
3843	0
3378	0
3853	0
3739	0
2982	0
3844	0
3041	0
3103	0
3783	0
3109	0
3929	0
3329	0
4430	0
4884	0
3345	0
4286	0
3402	0
4504	0
3453	0
3420	0
3481	0
3675	0
3424	0
3435	0
5133	0
5186	0
3456	0
3602	0
4590	0
3490	0
3652	0
4473	0
3992	0
4938	1
2590	1
112	1
263	1
181	1
1832	1
2184	1
298	1
728	1
313	1
2207	1
2997	1
486	1
476	1
2662	1
2187	1
485	1
5237	1
738	1
5197	1
2210	1
757	1
5293	1
2086	1
850	1
4172	1
1187	1
2807	1
1243	1
5116	1
3611	1
1255	1
4856	1
3664	1
1299	1
4404	1
4481	1
1337	1
5198	1
1553	1
1356	1
2244	1
1361	1
4245	1
3186	1
1423	1
1579	1
1438	1
1476	1
4010	1
1533	1
3722	1
1550	1
5298	1
4093	1
1760	1
1571	1
2473	1
1575	1
5115	1
2250	1
1576	1
5118	1
3036	1
1581	1
4629	1
1619	1
2980	1
1621	1
5199	1
1622	1
1666	1
1644	1
3830	1
1659	1
4549	1
1678	1
5119	1
1721	1
1715	1
5117	1
3110	1
1728	1
2934	1
1731	1
4306	1
3159	1
1739	1
1747	1
1768	1
1777	1
3169	1
1778	1
2561	1
1789	1
1797	1
4223	1
1816	1
1801	1
1815	1
1843	1
1849	1
1864	1
5292	1
1876	1
1882	1
2270	1
1895	1
3688	1
1901	1
1896	1
3180	1
1899	1
1926	1
1943	1
1955	1
1962	1
