# Input: C:/Users/Yanyan/Documents/Visual Studio 2013/Projects/StressTransGraphVis/data/bcspwr10/bcspwr10.txt
# Nodes: 5300    Edges: 8271
# Algoritm: Clauset-Newman-Moore
# Modularity: 0.921425
# Communities: 8
# NId	CommunityId
1244	0
0	0
2318	0
2093	0
35	0
2526	0
174	0
392	0
383	0
3168	0
2753	0
3826	0
393	0
4763	0
3086	0
472	0
3948	0
4457	0
550	0
4519	0
4515	0
551	0
5236	0
1756	0
571	0
1757	0
828	0
592	0
3500	0
3475	0
601	0
5037	0
665	0
614	0
2598	0
615	0
3520	0
2379	0
616	0
3883	0
644	0
617	0
806	0
631	0
2684	0
2610	0
636	0
725	0
642	0
2414	0
3821	0
643	0
4885	0
650	0
2766	0
647	0
4760	0
2816	0
649	0
3263	0
3705	0
4572	0
669	0
4886	0
3671	0
700	0
5238	0
3719	0
718	0
4545	0
2404	0
720	0
4669	0
733	0
2179	0
746	0
2303	0
3887	0
754	0
4902	0
784	0
775	0
1039	0
2314	0
782	0
2799	0
790	0
786	0
4389	0
4749	0
795	0
5134	0
797	0
798	0
4544	0
826	0
4997	0
4551	0
4604	0
891	0
916	0
910	0
943	0
914	0
958	0
918	0
915	0
4458	0
2508	0
926	0
4227	0
4263	0
937	0
4670	0
3978	0
945	0
4482	0
946	0
965	0
4339	0
3444	0
966	0
969	0
971	0
4543	0
2223	0
983	0
986	0
996	0
5267	0
4185	0
998	0
1007	0
1032	0
3668	0
3091	0
1033	0
1062	0
4981	0
3029	0
1088	0
1127	0
5137	0
2581	0
1140	0
4679	0
2626	0
1147	0
4011	0
4137	0
1169	0
1192	0
4678	0
4713	0
1193	0
2884	0
1201	0
2624	0
1222	0
4180	0
4723	0
2887	0
1368	0
5036	0
1458	0
1456	0
3493	0
1478	0
1522	0
1582	0
5035	0
2957	0
1585	0
5265	0
1677	0
1746	0
1711	0
1802	0
2298	0
4072	0
2356	0
4887	0
5135	0
3522	0
3931	0
5132	0
2734	0
4165	0
5136	0
2749	0
3661	0
4883	0
2797	0
3609	0
2907	0
3842	0
2908	0
3843	0
3378	0
3853	0
3739	0
2982	0
3844	0
3041	0
3103	0
3783	0
3109	0
3929	0
3329	0
4430	0
4884	0
3345	0
4286	0
3402	0
4504	0
3453	0
3420	0
3481	0
3675	0
3424	0
3435	0
5133	0
5186	0
3456	0
3602	0
4590	0
3490	0
3652	0
4473	0
3992	0
4938	0
2590	0
112	0
263	0
181	0
1832	0
2184	0
298	0
728	0
313	0
2207	0
2997	0
486	0
476	0
2662	0
2187	0
485	0
5237	0
738	0
5197	0
2210	0
757	0
5293	0
2086	0
850	0
4172	0
1187	0
2807	0
1243	0
5116	0
3611	0
1255	0
4856	0
3664	0
1299	0
4404	0
4481	0
1337	0
5198	0
1553	0
1356	0
2244	0
1361	0
4245	0
3186	0
1423	0
1579	0
1438	0
1476	0
4010	0
1533	0
3722	0
1550	0
5298	0
4093	0
1760	0
1571	0
2473	0
1575	0
5115	0
2250	0
1576	0
5118	0
3036	0
1581	0
4629	0
1619	0
2980	0
1621	0
5199	0
1622	0
1666	0
1644	0
3830	0
1659	0
4549	0
1678	0
5119	0
1721	0
1715	0
5117	0
3110	0
1728	0
2934	0
1731	0
4306	0
3159	0
1739	0
1747	0
1768	0
1777	0
3169	0
1778	0
2561	0
1789	0
1797	0
4223	0
1816	0
1801	0
1815	0
1843	0
1849	0
1864	0
5292	0
1876	0
1882	0
2270	0
1895	0
3688	0
1901	0
1896	0
3180	0
1899	0
1926	0
1943	0
1955	0
1962	0
